station,start_date,end_date,status,source,review_note
MJ9,2017-07-09,2017-07-24,candidate,automatic_15d,"自动 15 日候选窗口; MJ9 位移极缓，各窗口 v_eq 一致"
MJ9,2017-07-04,2017-08-03,candidate,automatic_30d,"自动 30 日候选窗口; MJ9 位移极缓，各窗口 v_eq 一致"
MJ9,2017-07-03,2017-09-01,candidate,automatic_60d,"自动 60 日候选窗口; MJ9 位移极缓，各窗口 v_eq 一致"
MJ1,2018-11-10,2018-11-25,candidate,automatic_15d,"自动 15 日候选窗口; 选中的是 2018 年末极缓段，与 MJ1 主要加速期不重合"
MJ1,2017-05-19,2017-06-18,candidate,automatic_30d,"自动 30 日候选窗口; 选中的是 2017 年 5-6 月较快速段，速率为 MJ1 三个窗口中最快"
MJ1,2018-10-03,2018-12-02,candidate,automatic_60d,"自动 60 日候选窗口; 选中的是 2018 年末极缓段，与 15 日窗口近似同段"
MJ3,2019-05-04,2019-05-19,candidate,automatic_15d,"自动 15 日候选窗口; 选中的是 2019 年缓速段，与 MJ3 主要加速期不重合"
MJ3,2017-06-19,2017-07-19,candidate,automatic_30d,"自动 30 日候选窗口; 选中的是 2017 年 6-7 月快速段，速率为 MJ3 三个窗口中最快"
MJ3,2019-04-02,2019-06-01,candidate,automatic_60d,"自动 60 日候选窗口; 选中的是 2019 年缓速段，与 15 日窗口近似同段"
