station,thesis_window,interval_variant,model_rmse,model_mae,model_r2,model_nse,baseline_rmse,baseline_mae,baseline_r2,baseline_nse,pinball_p10,pinball_p50,pinball_p90,mean_pinball,coverage,coverage_gap,mean_width,interval_score_80,p10_gt_p50,p50_gt_p90,total_points,rmse_skill_vs_baseline,rmse_difference_vs_baseline,mae_difference_vs_baseline,mae_skill_vs_baseline
MJ9,7,raw,0.0955038732328426,0.08128985201390344,0.9998272825356468,0.9998272825356468,0.12459354735642256,0.09359062717770046,0.9997060419313405,0.9997060419313405,0.01327583103872529,0.04064492600695172,0.01973305334224604,0.024551270129307686,0.662020905923345,-0.1379790940766551,0.17939985142399223,0.3300888438097133,0,0,287,0.2334765703424725,-0.02908967412357996,-0.012300775163797018,0.13143169924955778
MJ1,2,raw,0.12354921978980236,0.09863921982486387,0.9999192023102758,0.9999192023102758,0.18321149396116104,0.14917262968946765,0.9998223258031971,0.9998223258031971,0.02290602825914079,0.049319609912431936,0.01758774501913506,0.029937794396902594,0.8989547038327527,0.09895470383275262,0.3834208398137705,0.4049377327827585,0,0,287,0.3256470043522841,-0.05966227417135868,-0.05053340986460378,0.33875792073786637
MJ3,2,raw,0.2108336957118064,0.16879053183922338,0.999791245772862,0.999791245772862,0.2228104696269016,0.18201727868135892,0.9997668548297048,0.9997668548297048,0.03833655325685214,0.08439526591961169,0.032623437264309364,0.05178508548025773,0.6097560975609756,-0.19024390243902445,0.4672355126594803,0.709599905211615,0,0,287,0.0537531918277917,-0.01197677391509519,-0.01322674684213554,0.07266753430200656
ATU1,,raw,0.4469067278099979,0.2364386919648979,0.9989185882994087,0.9989185882994087,0.47749918246494477,0.2485967719772182,0.998765467454298,0.998765467454298,0.08618534034487045,0.11821934598244895,0.1082186566200143,0.10420778098244456,0.8989547038327527,0.09895470383275262,1.5032682113670346,1.9440399696488475,0,0,287,0.06406807755569888,-0.030592454654946866,-0.0121580800123203,0.048906829785523076
ATU2,,raw,0.2973660006611027,0.138064423379027,0.998804180625677,0.998804180625677,0.3222258673501355,0.15633909407665492,0.9985958814908783,0.9985958814908783,0.062148451069625806,0.0690322116895135,0.07595660308544835,0.06904575528152922,0.9128919860627178,0.11289198606271778,1.1083140145820851,1.3810505415507417,0,0,287,0.0771504376525417,-0.024859866689032784,-0.01827467069762792,0.11689124083492275
ATU3,,raw,0.45348384328647795,0.19574491652669307,0.9988486917630277,0.9988486917630277,0.4935066784621653,0.2444569686411152,0.9986365034514051,0.9986365034514051,0.08807385717663613,0.09787245826334653,0.11824682489294029,0.10139771344430765,0.9094076655052264,0.1094076655052264,1.5883353097982484,2.0632068206957643,0,0,287,0.0810988724618763,-0.04002283517568733,-0.048712052114422144,0.1992663673496492
ATU4,,raw,0.2893344711577134,0.13663311977612214,0.9980542262452712,0.9980542262452712,0.30687584774225235,0.1492666202090592,0.9978111429332277,0.9978111429332277,0.051681592411515744,0.06831655988806107,0.07494017031912076,0.06497944087289918,0.9024390243902439,0.10243902439024388,0.9097672838754453,1.266217627306365,0,0,287,0.05716115071809802,-0.01754137658453897,-0.012633500432937067,0.08463714402619216
ATU5,,raw,0.3406628557661678,0.17012196903100668,0.999350724956099,0.999350724956099,0.39740596796319644,0.2208207887240037,0.9991164158551586,0.9991164158551586,0.0744556273681263,0.08506098451550334,0.08556456726999806,0.08169372638454257,0.9233449477351916,0.12334494773519156,1.3574508270995764,1.6002019463812436,0,0,287,0.14278374451156606,-0.056743112197028656,-0.05069881969299703,0.22959260306041085
MJ9,7,calibrated,0.0955038732328426,0.08128985201390344,0.9998272825356468,0.9998272825356468,0.12459354735642256,0.09359062717770046,0.9997060419313405,0.9997060419313405,0.01327583103872529,0.04064492600695172,0.01973305334224604,0.024551270129307686,0.662020905923345,-0.1379790940766551,0.17939985142399223,0.3300888438097133,0,0,287,0.2334765703424725,-0.02908967412357996,-0.012300775163797018,0.13143169924955778
MJ1,2,calibrated,0.12354921978980236,0.09863921982486387,0.9999192023102758,0.9999192023102758,0.18321149396116104,0.14917262968946765,0.9998223258031971,0.9998223258031971,0.02290602825914079,0.049319609912431936,0.01758774501913506,0.029937794396902594,0.8989547038327527,0.09895470383275262,0.3834208398137705,0.4049377327827585,0,0,287,0.3256470043522841,-0.05966227417135868,-0.05053340986460378,0.33875792073786637
MJ3,2,calibrated,0.2108336957118064,0.16879053183922338,0.999791245772862,0.999791245772862,0.2228104696269016,0.18201727868135892,0.9997668548297048,0.9997668548297048,0.03833655325685214,0.08439526591961169,0.032623437264309364,0.05178508548025773,0.6097560975609756,-0.19024390243902445,0.4672355126594803,0.709599905211615,0,0,287,0.0537531918277917,-0.01197677391509519,-0.01322674684213554,0.07266753430200656
ATU1,,calibrated,0.4469067278099979,0.2364386919648979,0.9989185882994087,0.9989185882994087,0.47749918246494477,0.2485967719772182,0.998765467454298,0.998765467454298,0.08618534034487045,0.11821934598244895,0.1082186566200143,0.10420778098244456,0.8989547038327527,0.09895470383275262,1.5032682113670346,1.9440399696488475,0,0,287,0.06406807755569888,-0.030592454654946866,-0.0121580800123203,0.048906829785523076
ATU2,,calibrated,0.2973660006611027,0.138064423379027,0.998804180625677,0.998804180625677,0.3222258673501355,0.15633909407665492,0.9985958814908783,0.9985958814908783,0.062148451069625806,0.0690322116895135,0.07595660308544835,0.06904575528152922,0.9128919860627178,0.11289198606271778,1.1083140145820851,1.3810505415507417,0,0,287,0.0771504376525417,-0.024859866689032784,-0.01827467069762792,0.11689124083492275
ATU3,,calibrated,0.45348384328647795,0.19574491652669307,0.9988486917630277,0.9988486917630277,0.4935066784621653,0.2444569686411152,0.9986365034514051,0.9986365034514051,0.08807385717663613,0.09787245826334653,0.11824682489294029,0.10139771344430765,0.9094076655052264,0.1094076655052264,1.5883353097982484,2.0632068206957643,0,0,287,0.0810988724618763,-0.04002283517568733,-0.048712052114422144,0.1992663673496492
ATU4,,calibrated,0.2893344711577134,0.13663311977612214,0.9980542262452712,0.9980542262452712,0.30687584774225235,0.1492666202090592,0.9978111429332277,0.9978111429332277,0.051681592411515744,0.06831655988806107,0.07494017031912076,0.06497944087289918,0.9024390243902439,0.10243902439024388,0.9097672838754453,1.266217627306365,0,0,287,0.05716115071809802,-0.01754137658453897,-0.012633500432937067,0.08463714402619216
ATU5,,calibrated,0.3406628557661678,0.17012196903100668,0.999350724956099,0.999350724956099,0.39740596796319644,0.2208207887240037,0.9991164158551586,0.9991164158551586,0.0744556273681263,0.08506098451550334,0.08556456726999806,0.08169372638454257,0.9233449477351916,0.12334494773519156,1.3574508270995764,1.6002019463812436,0,0,287,0.14278374451156606,-0.056743112197028656,-0.05069881969299703,0.22959260306041085
