fold,validation_method,fit_start_date,fit_end_date,fit_windows,calibration_start_date,calibration_end_date,calibration_windows,train_windows,test_start_date,test_end_date,test_windows,lookback_days,horizon_days,calibration_fraction_within_train,target_coverage,seed,model,hidden_channels,kernel_size,epochs,learning_rate,test_length_basis,test_length_selected_from_results,confirmatory_external_validation,analysis_method,hyperparameter_tuning,best_seed_selected,seed_set_predeclared,qhat_MJ9_mm,qhat_MJ1_mm,qhat_MJ3_mm,qhat_ATU1_mm,qhat_ATU2_mm,qhat_ATU3_mm,qhat_ATU4_mm,qhat_ATU5_mm,delta_scale_MJ9_mm,delta_scale_MJ1_mm,delta_scale_MJ3_mm,delta_scale_ATU1_mm,delta_scale_ATU2_mm,delta_scale_ATU3_mm,delta_scale_ATU4_mm,delta_scale_ATU5_mm
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,0,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.1133773700025813,0.0,0.0,0.0,0.0,0.22040537917405345,0.4557986297510297,0.0,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,0,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.1464695605907309,0.33549121993837616,0.21266454736883134,0.3648502491457748,0.29567892965548026,0.3872001941454073,0.23726956975923486,0.5444365775027791,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,0,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.030821065000509407,0.011561386508560645,0.028171301712063723,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,1,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.1304851836386547,0.30904769431913337,0.45836572915209217,0.6262997091594116,1.5555969130655853,1.9401175395863106,1.121910968107187,1.4729853259464676,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,1,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.1255200444686011,0.22735080905147242,0.2227179969484041,0.02962448892935754,0.08677127129709561,0.06362414453894871,0.0,0.4162934039367201,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,1,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,2,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.10788260463601773,0.23908092351280175,0.16489608968731773,0.0,0.2673899735349323,0.8412991824127971,0.612558969872083,0.5029079216758987,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,2,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.09062573647281624,0.16990854854361714,0.15430899128477904,0.11624701143290395,0.19286126948327365,0.3997637466077322,0.22952879922922875,0.37668386778727836,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,2,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.005114062749100867,0.00520567960131757,0.032759098504811845,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,3,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.03482282568319306,0.10582078237655423,0.0,0.0,0.0,0.0,0.05376507618262849,0.0,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,3,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.11054201194866664,0.31893227785963063,0.42029990047149113,1.1713008606801623,0.945900359425309,0.9172409011222271,0.4484348791046955,1.2321553217227574,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,3,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.011555434592594338,0.00756276055028593,0.004777970402301435,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,4,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.2649993166618856,0.6323344689913029,0.9046795369151823,2.5025905078622372,3.1295833983873536,3.9896305021342187,2.3465027100208715,3.4277186695213686,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,4,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.11731664963645017,0.17423796823072735,0.1244895590118631,0.6978022298375208,0.3988397847899705,0.26418711647045257,0.07666320073974475,0.6779545799273592,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,4,ConvLSTMForecast,16,3,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.011284408974518101,0.005075632755392689,0.02449450760605032,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
