analysis_scope,candidate_window_days,station,method,source,start_date,end_date,stage_duration_days,v_eq_mm_per_day,median_rate_mm_per_day,rate_mad_mm_per_day,mean_abs_accel_mm_per_day2,n_rate_samples
retrospective_fixed_first_80pct,15,MJ9,automatic_candidate,automatic_15d,2017-07-09,2017-07-24,15,0.15225866666666737,0.1522600000000125,0.0,2.8571428661702418e-06,15
retrospective_fixed_first_80pct,15,MJ1,automatic_candidate,automatic_15d,2018-11-10,2018-11-25,15,0.05808103570642136,0.05785915588842272,0.00023384887481370242,0.00014826331316239054,15
retrospective_fixed_first_80pct,15,MJ3,automatic_candidate,automatic_15d,2019-05-04,2019-05-19,15,0.09729404979827147,0.09742192989006071,0.00030889905815456586,0.0001789769567527141,15
retrospective_fixed_first_80pct,15,ATU1,automatic_candidate,automatic_15d,2017-05-02,2017-05-17,15,0.6809747837788204,0.6782817126190963,0.004442579589451157,0.002852017576480697,15
retrospective_fixed_first_80pct,15,ATU2,automatic_candidate,automatic_15d,2017-01-06,2017-01-21,15,0.04888000000000001,0.04888000000000048,0.0,1.0150610510858574e-15,15
retrospective_fixed_first_80pct,15,ATU3,automatic_candidate,automatic_15d,2018-07-04,2018-07-19,15,0.1,0.10000000000002274,0.0,4.06024420434343e-14,15
retrospective_fixed_first_80pct,15,ATU4,automatic_candidate,automatic_15d,2018-07-09,2018-07-24,15,0.02258000000000114,0.02258000000000493,0.0,8.120488408686859e-15,15
retrospective_fixed_first_80pct,15,ATU5,automatic_candidate,automatic_15d,2019-05-25,2019-06-09,15,0.3092944932853622,0.3099417285650361,0.0014115117870687754,0.0008246372553587987,15
retrospective_fixed_first_80pct,30,MJ9,automatic_candidate,automatic_30d,2017-07-04,2017-08-03,30,0.15225833333333488,0.1522600000000125,0.0,3.4482758729640847e-06,30
retrospective_fixed_first_80pct,30,MJ1,automatic_candidate,automatic_30d,2017-05-19,2017-06-18,30,0.8989008459445775,0.9032480335204127,0.012947241728113568,0.003726010672227764,30
retrospective_fixed_first_80pct,30,MJ3,automatic_candidate,automatic_30d,2017-06-19,2017-07-19,30,1.0715586255719018,1.0719397086214713,0.010536108988958404,0.0018819457737930046,30
retrospective_fixed_first_80pct,30,ATU1,automatic_candidate,automatic_30d,2017-04-15,2017-05-15,30,0.677024164730597,0.6792224401910367,0.0068536889926420486,0.004224227417391399,30
retrospective_fixed_first_80pct,30,ATU2,automatic_candidate,automatic_30d,2017-01-02,2017-02-01,30,0.04887733333333332,0.04888000000000048,0.0,2.758620690530796e-06,30
retrospective_fixed_first_80pct,30,ATU3,automatic_candidate,automatic_30d,2018-07-04,2018-08-03,30,0.1,0.10000000000002274,0.0,4.312259361854401e-14,30
retrospective_fixed_first_80pct,30,ATU4,automatic_candidate,automatic_30d,2018-07-09,2018-08-08,30,0.022580333333333633,0.02258000000000493,0.0,6.896551785130527e-07,30
retrospective_fixed_first_80pct,30,ATU5,automatic_candidate,automatic_30d,2019-05-18,2019-06-17,30,0.302680575601092,0.30486925773789153,0.00572404528890047,0.0016991728271101426,30
retrospective_fixed_first_80pct,60,MJ9,automatic_candidate,automatic_60d,2017-07-03,2017-09-01,60,0.1522580000000005,0.1522600000000125,0.0,3.898305098989683e-06,60
retrospective_fixed_first_80pct,60,MJ1,automatic_candidate,automatic_60d,2018-10-03,2018-12-02,60,0.05860797404569666,0.05908248715189757,0.0015245506238557027,0.00046542954249092626,60
retrospective_fixed_first_80pct,60,MJ3,automatic_candidate,automatic_60d,2019-04-02,2019-06-01,60,0.09645350265299915,0.09592509407150374,0.0018662615814264427,0.0005593803192461287,60
retrospective_fixed_first_80pct,60,ATU1,automatic_candidate,automatic_60d,2017-04-15,2017-06-14,60,0.7819694203109371,0.6976285080302453,0.031218096908425252,0.010013529375477623,60
retrospective_fixed_first_80pct,60,ATU2,automatic_candidate,automatic_60d,2016-12-01,2017-01-30,60,0.04887600000000004,0.04888000000000048,0.0,4.237288136155392e-06,60
retrospective_fixed_first_80pct,60,ATU3,automatic_candidate,automatic_60d,2018-07-01,2018-08-30,60,0.1,0.10000000000002274,0.0,4.624549331048788e-14,60
retrospective_fixed_first_80pct,60,ATU4,automatic_candidate,automatic_60d,2018-07-01,2018-08-30,60,0.02258066666666707,0.02258000000000493,0.0,1.3559322057471174e-06,60
retrospective_fixed_first_80pct,60,ATU5,automatic_candidate,automatic_60d,2019-06-29,2019-08-28,60,0.1678592666431579,0.16624616540059378,0.008610337180300576,0.002168001771628874,60
