task,fold,feature_group,mean_abs_shap,normalized_share,feature_count,rank
regression,1,displacement_kinematics,0.47919644279152745,0.9898807008484826,15,1.0
regression,1,raw_environment,0.0024518378882278672,0.005064785107809603,40,2.0
regression,1,environmental_rates,0.0010494278827484719,0.0021678132709280697,10,3.0
regression,1,cumulative_rainfall,0.0008016716303760053,0.0016560207974502445,15,4.0
regression,1,station_identity,0.0005957662028233512,0.0012306799753294103,8,5.0
classification,1,displacement_kinematics,0.6300513937930058,0.8604618345547244,15,1.0
classification,1,cumulative_rainfall,0.06494904669142147,0.08870097966490899,15,2.0
classification,1,raw_environment,0.03138782758817193,0.04286638832209123,40,3.0
classification,1,environmental_rates,0.005836414639850939,0.007970797458275442,10,4.0
classification,1,station_identity,0.0,0.0,8,5.0
regression,2,displacement_kinematics,0.31420190016953486,0.9843847784600246,15,1.0
regression,2,raw_environment,0.0028688624749799623,0.008988056884257028,40,2.0
regression,2,cumulative_rainfall,0.001288800216605216,0.004037770984254438,15,3.0
regression,2,station_identity,0.0004792553988965721,0.0015014922551837451,8,4.0
regression,2,environmental_rates,0.00034724296806692853,0.001087901416280193,10,5.0
classification,2,cumulative_rainfall,0.04205629564950607,0.5418143079748822,15,1.0
classification,2,displacement_kinematics,0.019857897195093878,0.25583073022558295,15,2.0
classification,2,station_identity,0.01267491080749807,0.16329179547910508,8,3.0
classification,2,raw_environment,0.0030008278970099396,0.03865988350282241,40,4.0
classification,2,environmental_rates,3.130331030027137e-05,0.00040328281760744483,10,5.0
regression,3,displacement_kinematics,0.28835424670880166,0.9874142031757409,15,1.0
regression,3,raw_environment,0.002224415811485411,0.007617088324859905,40,2.0
regression,3,cumulative_rainfall,0.0009981916570324237,0.003418117232172041,15,3.0
regression,3,station_identity,0.00023286822379359805,0.0007974128845562347,8,4.0
regression,3,environmental_rates,0.00021995043667993067,0.00075317838267107,10,5.0
classification,3,displacement_kinematics,0.0625484939209906,0.6314360019005529,15,1.0
classification,3,raw_environment,0.016986139294409383,0.1714775082727983,40,2.0
classification,3,station_identity,0.011843048019067546,0.11955726545426373,8,3.0
classification,3,cumulative_rainfall,0.006403006990899237,0.06463927236332524,15,4.0
classification,3,environmental_rates,0.0012768468735609461,0.012889952009059916,10,5.0
regression,4,displacement_kinematics,0.1804669046720931,0.9901391536221864,15,1.0
regression,4,raw_environment,0.0009698989360766403,0.005321390719317232,40,2.0
regression,4,cumulative_rainfall,0.0005117724984898149,0.0028078610281621116,15,3.0
regression,4,station_identity,0.0001908604864501185,0.0010471639709065295,8,4.0
regression,4,environmental_rates,0.00012474719550046874,0.0006844306594275836,10,5.0
classification,4,displacement_kinematics,0.07451240520109598,0.5227955628131618,15,1.0
classification,4,raw_environment,0.05560894903225308,0.39016472127432494,40,2.0
classification,4,station_identity,0.00877391119542176,0.06155970712666984,8,3.0
classification,4,cumulative_rainfall,0.0020615922583034634,0.014464588575046605,15,4.0
classification,4,environmental_rates,0.0015699931533286182,0.011015420210796965,10,5.0
regression,5,displacement_kinematics,0.25620603123320096,0.9885702952007318,15,1.0
regression,5,raw_environment,0.001585119838793464,0.006116180713709631,40,2.0
regression,5,cumulative_rainfall,0.0010220433754023152,0.003943551666079941,15,3.0
regression,5,station_identity,0.00024139294510375626,0.0009314140414726917,8,4.0
regression,5,environmental_rates,0.00011366040638537084,0.0004385583780061327,10,5.0
classification,5,displacement_kinematics,0.12617543470174816,0.6012857940452884,15,1.0
classification,5,raw_environment,0.0744518164993861,0.3547982196991569,40,2.0
classification,5,station_identity,0.007093574653397888,0.033804247856724715,8,3.0
classification,5,environmental_rates,0.0016685543364311117,0.00795145284389331,10,4.0
classification,5,cumulative_rainfall,0.00045332015436493967,0.0021602855549367793,15,5.0
